DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 13:50:41.902   2410.398002137859           4067.19624981184            4847.095742498962           -7.169969342065119           1.755682266283437            2.092340648297242            26697858.45989636         -132723803.2191507        -57542145.19216172        
01 Jan 2000 13:52:12.938   1746.015489103736           4205.121794910967           5011.469006381364           -7.413115202040253           1.271760276998774            1.515624879031906            26700570.14664786         -132723342.9977502        -57541945.68164612        
01 Jan 2000 13:53:43.974   1063.068434903213           4298.337928413666           5122.559668370949           -7.57744383984102            0.7743162736406717           0.922794200915441            26703281.82688922         -132722882.7298919        -57541746.15101335        
01 Jan 2000 13:55:15.010   368.8181154408056           4345.853430110757           5179.186438222374           -7.661207855520491           0.2686392140181103           0.3201517484177759           26705993.5001981          -132722422.4156473        -57541546.60029442        
01 Jan 2000 13:56:46.045   -329.34537759469            4347.16327197098            5180.747446965025           -7.66351694645283            -0.2398881174023109          -0.2858875257348587          26708705.13270911         -132721962.0607659        -57541347.03198177        
01 Jan 2000 13:58:17.080   -1024.007532768067          4302.254329490568           5127.22705342439            -7.584347975743769           -0.745865149333857           -0.8888874713094352          26711416.75711555         -132721501.659698         -57541147.44366963        
01 Jan 2000 13:59:48.116   -1707.783876724898          4211.603832471196           5019.193997931104           -7.424542241141677           -1.243913189584319           -1.482438012562431           26714128.37800409         -132721041.2116647        -57540947.83502028        
01 Jan 2000 14:01:19.151   -2373.403345498166          4076.17555778034            4857.796865029441           -7.185798763339922           -1.728736150929688           -2.06022751851794            26716839.99090776         -132720580.7174243        -57540748.20636247        
01 Jan 2000 14:02:50.187   -3013.791962459165          3897.408395326338           4644.75045693701            -6.870654129189928           -2.195181500340935           -2.616115439427655           26719551.60847425         -132720120.1748285        -57540548.55676487        
01 Jan 2000 14:04:21.222   -3622.134274007074          3677.204955945149           4382.322216952878           -6.482462408799419           -2.638285007424149           -3.144185635885171           26722263.20153854         -132719659.5888308        -57540348.88837485        
